score,SentiStrength-posScore,SentiStrength-negScore,mpqa-posCount,mpqa-negCount,BingLiu-posCount,BingLiu-negCount,AFINN-posScore,AFINN-negScore,S140-posScore,S140-negScore,NRC-Hash-Sent-posScore,NRC-Hash-Sent-negScore,NRC-10-anger,NRC-10-anticipation,NRC-10-disgust,NRC-10-fear,NRC-10-joy,NRC-10-sadness,NRC-10-surprise,NRC-10-trust,NRC-10-negative,NRC-10-positive,NRC-10-Expanded-anger,NRC-10-Expanded-anticipation,NRC-10-Expanded-disgust,NRC-10-Expanded-fear,NRC-10-Expanded-joy,NRC-10-Expanded-sadness,NRC-10-Expanded-surprise,NRC-10-Expanded-trust,NRC-10-Expanded-negative,NRC-10-Expanded-positive,NRC-Hash-Emo-anger,NRC-Hash-Emo-anticipation,NRC-Hash-Emo-disgust,NRC-Hash-Emo-fear,NRC-Hash-Emo-joy,NRC-Hash-Emo-sadness,NRC-Hash-Emo-surprise,NRC-Hash-Emo-trust,SentiWordnet-posScore,SentiWordnet-negScore,Emoticons-posScore,Emoticons-negScore,Negation-negationCount
0.667,1,-4,0,2,0,2,0,-8,1.057,-2.821,1.376,-1.98,2,0,2,1,0,1,0,0,2,0,0.456883,0.38793,0.222596,0.329267,0.268686,0.271456,0.173719,0.41593,1.882849,1.135509,2.374433,0.968777,0,0.039208,0,0.088955,0.046772,0,0.171875,-0.422917,0,0,0
0.854,2,-4,1,0,1,0,0,0,2,-3.401,0.276,-5.786,0,1,0,0,0,0,0,0,0,0,0.929981,0.77813,0.362557,0.487534,0.626173,0.295366,0.495092,0.587985,2.753611,1.625313,2.717485,0.001125,1.184025,0.333051,0.229401,0.248919,0,0.131416,1.181958,-0.025,0,0,3
0.854,3,-4,2,1,1,2,6,-12,3.617,-0.734,2.243,-5.855,0,0,0,0,1,0,0,1,0,1,1.834684,0.795495,2.002652,1.726717,0.964126,0.907414,0.57617,0.962555,5.117128,2.259153,1.129662,0.293475,2.27184,0.314285,0,0.464478,0.946256,0.715875,1.817857,-0.125,0,0,0
0.938,1,-4,0,0,0,1,0,-4,1.445,-8.323,2.939,-6.431,0,0,0,0,0,0,0,0,0,1,1.725081,1.192061,1.426849,1.264341,0.845318,1.627026,0.582154,1.408221,5.614314,3.332889,3.984787,2.359737,0.465058,1.732839,0.402852,0.729928,1.137202,0.399121,0.392295,-0.5,0,0,0
0.854,1,-4,0,0,0,0,0,-6,0,-3.926,0,-2.454,1,0,0,0,0,0,0,0,1,0,0.285526,0.013251,0.4954,0.063298,0.002375,0.101344,0.008149,0.004579,0.89566,0.004446,2.118989,0,0,0,0,0,0,0,0,0,0,0,0
0.854,2,-4,4,0,1,0,2,0,1.735,-2.674,2.792,-4.04,0,1,0,1,0,0,1,0,1,3,0.637523,0.522624,0.661962,0.602446,0.545332,0.256326,0.325106,0.930616,2.321319,1.825885,3.281684,1.312009,1.10482,0.519219,0.028218,0.03026,0.677752,0.475332,1.680159,-0.702083,0,0,0
0.854,1,-3,0,2,0,1,0,-5,2.133,-6.257,1.688,-5.041,0,0,0,0,0,0,0,0,0,0,1.924686,0.750051,1.682246,1.550068,0.412171,0.96691,0.376434,0.822244,6.36409,1.673901,2.621602,0,2.266432,0.350955,0,0.243475,0.813827,0.097774,0.264167,-0.645833,0,0,1
0.833,1,-4,1,3,1,3,0,-9,1.239,-6.139,1.404,-6.826,3,0,2,2,0,2,0,0,3,0,1.303757,0.651453,1.233801,1.593767,0.484671,0.769796,0.479062,0.735871,4.869129,1.822549,2.491243,0.291568,1.813613,0,1.570093,0.291766,0.546419,0.251234,0,-1.650595,0,0,0
0.833,2,-3,1,1,1,1,2,-7,1.659,-3.625,1.909,-6.88,2,0,0,1,0,1,0,0,2,0,1.786679,0.467294,1.465767,1.419165,0.32739,0.788317,0.322058,0.516411,4.32584,1.015027,3.45916,0.186747,2.503121,0.298197,0,0.448743,1.051459,0.804546,1.201786,-0.488487,0,0,0
0.812,1,-1,0,4,0,1,0,-3,2.536,-6.188,4.373,-5.609,2,0,1,0,0,0,0,0,3,0,1.367699,0.940721,1.397889,1.494455,0.745935,0.738445,0.561261,1.109131,5.638081,2.713012,2.741896,0.974371,1.564094,0.680629,0.753124,1.085217,0.430152,0.49846,1.067478,-1.47753,0,0,1
0.812,1,-5,0,3,0,3,0,-8,1.934,-2.355,1.138,-1.675,2,3,1,2,1,2,1,1,4,1,0.22733,0.298703,0.126569,0.14329,0.245757,0.058206,0.109942,0.180195,0.61613,0.767763,0.926346,1.3159,0.536489,0.911654,0.107963,1.770375,0,0.180372,0.0625,-1.495833,0,0,0
0.891,2,-3,2,0,0,0,2,-3,5.661,-2.751,0.981,-9.138,1,0,0,1,1,1,0,3,1,1,1.108383,0.862446,0.959828,0.96687,1.051071,0.466073,0.748933,1.179064,4.270959,3.217209,0.762388,0.455032,1.204025,0.282451,0.156472,0.049806,0.204167,1.037629,1.691,-0.479167,0,0,1
0.812,3,-2,1,1,0,1,0,-1,0.973,-5.968,1.179,-7.44,0,0,0,0,0,1,0,0,1,1,1.220821,0.612973,1.165418,1.0378,0.356364,0.851937,0.400322,0.719201,5.263986,1.490875,4.101211,0.650513,1.957563,0.449716,0.099135,0.150833,0.418873,0.28169,0.4125,-1.702381,0,0,3
0.812,2,-5,0,1,0,2,0,-7,3.387,-7.635,0.831,-14.139,1,0,1,1,0,1,0,0,2,0,2.700501,1.415676,2.289129,2.308258,0.992018,1.476723,0.666943,1.377092,7.231573,2.968293,4.433986,0.005811,3.283216,1.387168,0,0,0.271525,0.467388,1.025189,-0.837949,0,0,0
0.792,1,-4,0,3,0,2,0,-5,0.896,-2.531,1.379,-1.226,0,0,0,0,0,0,0,0,0,0,1.119462,0.516007,1.160807,0.791747,0.558943,0.471115,0.380241,0.625094,3.01474,1.518038,1.943875,0,1.006849,0.311129,0.017656,0,0.00592,0.035886,0.011364,-1.020536,0,0,0
0.792,1,-4,0,0,0,0,0,-2,0.236,-2.892,0.717,-2.552,1,0,0,0,0,0,0,1,2,0,0.307777,0.373131,0.174245,0.263403,0.203965,0.216995,0.295797,0.28964,1.509936,0.600734,1.298075,0.056254,0.336012,0.292756,0.556329,0,1.088122,0,0.287636,-0.400794,0,0,1
0.792,3,-5,3,1,1,1,4,0,2.037,-1.303,1.614,-9.898,0,0,0,0,0,0,0,0,0,0,1.291755,0.643164,1.28202,1.059143,0.596961,0.480309,0.60415,0.882588,4.642943,1.796647,4.129859,0.001125,2.097441,0,0.428769,0.028231,0.031341,0.387034,1.002001,-0.536292,0,0,0
0.792,1,-4,0,1,0,1,0,-3,0,-2.229,0.446,-2.914,1,0,1,1,0,1,0,0,1,0,0.058363,0.018664,0.018258,0.021801,0.009195,0.035509,0.010285,0.031969,0.171129,0.049135,2.962873,0,0.026605,0.09468,0,0,0,0,0,-0.291667,0,0,0
0.792,1,-4,2,1,1,1,0,-3,2.839,-2.365,0.618,-5.076,0,0,0,0,0,0,0,0,0,0,1.472344,0.752538,1.292527,1.312328,0.746076,0.834971,0.601739,0.991051,4.955296,2.256759,2.331728,0,1.119227,0.443149,0,0.092744,0.257359,0.956219,2.927904,0,0,0,0
0.792,1,-4,0,1,0,1,0,-4,1.73,-4.387,3.55,-4.983,1,0,1,0,0,0,0,0,1,0,0.763235,0.907172,0.842215,0.849694,0.933432,0.462535,0.657347,1.732044,3.304284,3.252127,2.458645,1.107854,0.818075,0.284126,0.404695,0,0.947055,1.258453,0.890504,-0.484545,0,0,2
0.792,2,-3,1,1,1,2,3,-4,1.799,-4.4,1.312,-2.978,0,1,0,0,1,0,1,1,0,1,1.633575,0.7944,0.92956,1.196693,0.518669,0.83646,0.550376,0.729253,4.624685,1.529201,2.500349,0.323799,0.350076,0.32016,0.344825,0,0.549476,0.501796,3.039509,-1.438447,0,0,1
0.792,4,-4,1,0,1,0,4,0,3.104,-2.465,1.919,-5.795,0,0,0,0,0,0,0,0,0,1,0.973875,1.00477,0.771622,0.70744,1.056997,0.368357,0.756255,1.055904,3.445618,3.028593,2.193466,0.030035,0.292831,0.09957,0,0.303659,1.136325,1.132888,0.412636,-0.041667,0,0,0
0.792,2,-3,1,1,0,1,0,-2,1.972,-4.495,1.834,-5.903,1,0,1,0,0,0,0,1,1,0,1.100326,0.802113,1.098615,1.002382,0.933259,0.617555,0.512545,0.838905,4.203553,2.273131,1.24468,2.553563,1.560701,0.731545,1.256112,0.062651,2.092849,0.226694,1.123053,-1.270833,0,0,1
0.792,1,-4,0,0,1,1,0,0,1.45,-2.042,2.18,-3.67,0,0,0,0,0,0,0,0,0,0,1.278182,0.691925,0.832036,1.029695,0.369593,1.00229,0.482375,0.629324,3.743626,1.589212,2.269989,1.075071,0.160137,2.02507,0,0.790445,0.120143,0,0.088542,0,0,0,0
0.792,1,-4,2,1,1,1,3,-2,0.589,-2.058,1.337,-1.584,1,0,0,0,0,0,0,0,1,1,0.499253,0.308334,0.347119,0.476134,0.208634,0.30268,0.18241,0.366621,2.098329,1.050431,1.615783,0.169779,0,0.55609,0,0,0,0.105305,1.43378,-0.889583,0,0,1
0.792,1,-4,0,2,0,3,0,-1,0.51,-3.585,1.511,-4.637,0,0,0,0,0,1,0,0,2,0,0.903716,0.7651,0.456526,0.613018,0.380999,0.217652,0.341864,0.664329,2.392891,1.606059,2.875578,0.816092,1.398223,0.349596,0,0,0.948314,0.158648,0.795915,-1.025298,0,0,0
0.792,1,-3,0,1,0,2,0,-6,3.566,-2.556,1.955,-11.178,0,0,0,0,0,0,0,0,0,0,3.257335,0.909319,2.902344,2.276686,0.807689,1.428643,0.580511,1.156192,7.546698,2.479978,3.20745,0.495911,2.220052,0.598099,0.275509,0.298968,0.734194,0.414364,0.06875,-0.1875,0,0,0
0.792,2,-1,0,1,0,1,0,-2,2.041,-0.176,0.208,-3.2,0,0,0,0,0,0,0,0,0,0,0.424276,0.37104,0.462864,0.397751,0.467295,0.304765,0.270705,0.451197,2.059036,1.134329,1.894986,0,0.607909,0,0,0,0,0.166457,0,0,0,0,0
0.792,1,-3,1,3,0,3,0,0,2.965,-2.155,4.57,-1.84,2,1,1,1,1,1,0,1,2,1,0.751257,0.51486,0.936659,0.785654,0.358099,0.338708,0.312513,0.568923,3.057908,1.477915,0.608568,1.062777,0.287788,0.119802,0.079511,0.651511,1.692834,0,0.071528,-0.416667,0,0,0
0.771,1,-4,0,0,0,0,0,0,0.288,-3.811,0.969,-8.943,0,0,0,0,0,0,0,0,0,0,0.980598,0.717143,0.562944,0.81823,0.406346,0.586475,0.413377,0.647913,3.619322,1.433275,2.246184,0.169779,1.042085,0.107035,0.478803,0.080516,0.764553,0.598882,0.381061,-0.541667,0,0,1
0.9,1,-1,0,0,0,1,0,-4,0,-3.293,0.847,-2.659,0,0,0,0,0,0,0,0,0,0,0.794438,0.108663,0.773828,0.433461,0.039816,0.333254,0.06519,0.074369,1.900342,0.160859,1.508865,0,0.381081,0,0,0,1.729211,0,0,-0.676488,0,0,1
0.771,2,-4,3,0,2,0,3,0,5.024,-3.653,2,-6.033,0,1,0,0,1,0,0,1,0,2,0.980699,1.310262,0.777065,0.79439,1.413865,0.483183,0.730075,1.190472,3.26724,3.433222,2.905886,1.026657,0.176888,1.296208,0.857999,0.078851,0.864461,1.217671,0.933469,-0.607961,0,0,2
0.771,1,-4,0,1,0,1,0,-3,0.8,-5.51,1.498,-6.502,0,0,0,1,0,1,0,0,1,0,1.430679,0.772146,1.502642,1.592001,0.483263,0.950539,0.606966,0.926921,6.097488,1.805775,3.647618,0.286654,1.416271,1.805922,0,0.030216,0.24134,1.148592,0.17409,-0.612054,0,0,0
0.771,1,-4,1,1,0,1,0,-4,1.807,-10.257,3.526,-15.403,0,0,0,2,0,0,1,0,2,0,0.93845,0.372147,0.914771,0.688122,0.242839,0.881115,0.19774,0.485461,2.628391,1.01307,6.162214,1.058823,1.327044,0.897109,0.47631,3.803074,0.677908,0,1.123214,-0.491865,0,0,0
0.733,1,-1,0,0,0,1,0,-4,1.445,-8.323,2.939,-4.345,0,0,0,0,0,0,0,0,0,1,1.725081,1.192061,1.426849,1.264341,0.845318,1.627026,0.582154,1.408221,5.614314,3.332889,2.618385,2.359737,0.465058,1.732839,0.402852,0.729928,1.137202,0.399121,0.392295,-0.5,0,0,0
0.771,1,-4,0,1,0,1,0,-3,0.253,-1.341,0.665,-0.738,1,0,1,0,0,0,0,0,1,0,0.035166,0.020587,0.042681,0.047737,0.0169,0.0537,0.015589,0.022472,0.343659,0.073119,1.235076,0,0.085605,0.068826,0,0.362404,0,0,0.141667,-0.15625,0,0,0
0.771,1,-3,1,1,0,3,0,-11,2.626,-5.748,1.849,-10.541,0,0,0,0,0,0,0,0,0,0,3.174742,1.103878,2.850848,1.993614,1.003141,1.398032,0.532493,1.035032,7.57358,2.818841,3.679412,0.567233,4.539386,0.053112,0.16715,0.828435,0.871057,0.475774,0.685553,-0.041667,0,0,0
0.771,1,-1,0,0,0,1,0,-4,0,-3.293,0.847,-2.659,0,0,0,0,0,0,0,0,0,0,0.794438,0.108663,0.773828,0.433461,0.039816,0.333254,0.06519,0.074369,1.900342,0.160859,1.508865,0,0.381081,0,0,0,1.729211,0,0,-0.676488,0,0,1
0.771,2,-3,1,1,0,1,0,-2,1.972,-4.495,1.834,-7.852,1,0,1,0,0,0,0,1,1,0,1.100326,0.802113,1.098615,1.002382,0.933259,0.617555,0.512545,0.838905,4.203553,2.273131,2.099231,2.553563,2.092401,0.731545,1.256112,0.203792,2.092849,0.226694,1.123053,-1.270833,0,0,1
0.771,1,-3,0,1,0,1,0,-3,0.412,-1.365,0.72,-2.634,0,0,0,0,0,0,0,0,0,0,0.973767,0.242175,0.571396,0.567458,0.190319,0.491154,0.129632,0.206251,2.047982,0.600639,2.267087,0,0.94721,0,1.096405,0.291766,0,0.779936,0.083333,0,0,0,0
0.75,1,-4,0,1,0,1,0,-3,0,-1.783,0,-0.52,1,0,1,0,0,0,0,0,1,0,0.080088,0.087903,0.03107,0.045487,0.090399,0.068945,0.051723,0.039166,0.369827,0.165374,1.255599,0,0,0,0,0,0,0,0,-0.260417,0,0,0
0.75,1,-5,0,1,0,1,0,-7,0.014,-1.578,0,-2.156,0,0,0,0,0,0,0,0,0,0,1.255325,0.143699,0.895252,0.628791,0.03679,0.591964,0.11199,0.108697,2.317934,0.111002,2.526753,0,0.798911,0,0,0,0,0,0.083333,0,0,0,0
0.84,1,-5,0,2,0,2,0,-6,1.316,-2.521,1.892,-1.967,2,0,2,2,0,2,0,0,2,0,0.264237,0.265763,0.21615,0.199848,0.368146,0.107886,0.168725,0.44953,1.211694,1.150328,1.086067,0.01725,2.403607,0,0,0.971962,0,0.254124,0.017857,-0.666667,0,0,0
0.75,1,-4,0,3,0,2,0,-3,2.19,-3.836,0.295,-2.904,1,0,1,0,0,0,0,0,1,0,0.30875,0.427874,0.46588,0.290502,0.403787,0.175759,0.194124,0.481448,1.480367,1.070003,2.43168,0,1.10353,0.536078,0,0.362404,0.011294,0.736792,0.15303,-0.510417,0,0,0
0.75,1,-3,0,2,0,2,0,-2,0.299,-1.312,0.141,-8.054,1,0,2,0,0,0,0,0,2,0,0.395597,0.283908,0.305511,0.315265,0.228004,0.202252,0.170717,0.299219,1.497765,0.685147,0.273668,0,1.826756,0,0.0398,0.390235,0.064854,0,0.041667,-0.302083,0,0,0
0.75,1,-4,2,2,0,1,1,0,0.364,-2.619,1.607,-0.667,1,0,1,1,0,0,0,0,1,0,0.684434,0.46832,0.420324,0.495811,0.259541,0.341186,0.315341,0.387812,2.471293,0.838497,1.249789,0,0,0.116566,0,0.209597,0.315063,0,1.476637,-0.447917,0,0,0
0.75,1,-5,0,0,0,0,0,-2,1.256,-3.315,1.71,-1.985,1,0,0,0,0,0,0,0,1,0,0.627367,0.311719,0.46203,0.420918,0.356433,0.170552,0.247724,0.426821,1.965021,1.191276,2.467358,0,1.409005,0.462335,0,0,0.326309,0.177092,0.647917,-0.935417,0,0,0
0.75,1,-4,0,2,0,2,0,-5,0.156,-3.156,0.759,-2.338,1,0,1,1,0,1,0,0,1,0,0.865907,0.188066,1.244577,0.595721,0.124158,0.883298,0.182805,0.198474,2.942194,0.456471,0.415091,0,2.938478,0,0.299195,0.447381,0,0.510595,0,-1.166405,0,0,1
0.75,2,-4,0,0,0,0,0,0,1.929,-4.062,1.284,-8.95,0,1,0,0,0,0,0,0,0,0,1.028473,0.854083,0.594217,0.729731,0.682908,0.698483,0.409908,1.001817,3.182141,2.229432,3.580912,0.250286,1.011891,0.537427,0.125975,0.975361,0.765334,0.158037,0.81994,0,0,0,0
0.75,2,-4,2,2,1,1,2,-5,0.369,-5.273,0.398,-6.499,1,0,0,0,0,0,0,0,1,1,1.93878,0.406162,1.830455,1.397898,0.304383,0.848224,0.343696,0.586896,5.311682,1.317971,1.478012,0.063589,1.682511,0.053112,0.099135,1.015336,0.340304,0.138085,1.020238,-1.228571,0,0,1
0.75,2,-4,2,0,0,0,2,0,1.752,-3.6,2.847,-9.446,1,1,0,0,0,0,1,0,1,0,1.271918,0.97153,0.76931,0.986733,0.95546,0.705426,0.568921,1.398573,3.983634,2.860317,3.053577,2.57559,1.967255,0.489219,1.962934,0.016074,0.123811,0.205119,0.728968,-1.100801,0,0,1
0.844,1,-4,0,1,0,1,0,-3,1.306,-7.134,0.719,-5.691,1,0,1,1,0,1,0,0,1,0,1.007252,0.839401,0.731154,0.969359,0.508049,0.621844,0.502477,1.186539,3.766984,2.176655,2.547688,0.949284,0.33143,0.271659,0,0.894134,1.104413,0.134473,0.21553,-2.47633,0,0,1
0.75,1,-4,0,1,0,1,0,-3,0,-2.699,0,-0.897,1,0,1,0,0,0,0,0,1,0,0.286876,0.177042,0.264815,0.27408,0.097318,0.267238,0.079998,0.076144,1.222343,0.204574,1.499033,0,0,0,0,0.128485,0,0,0,-0.385417,0,0,0
0.75,2,-1,0,0,0,0,1,0,0.927,-5.365,0.969,0,0,1,0,1,1,0,0,1,0,1,0.649285,0.186154,0.761084,0.317602,0.133441,0.456253,0.158791,0.082257,1.510123,0.296364,0.047555,0.967016,0,0,0.656746,0,0.273888,0.68451,0.03125,0,0,0,0
0.75,1,-4,1,1,0,1,0,-5,1.274,-2.7,4.183,-3.113,1,0,1,0,0,0,0,0,1,0,0.424519,0.322965,0.183063,0.247492,0.214058,0.242569,0.156196,0.310255,1.500381,0.817322,1.238742,0.573965,1.628715,0.874206,0.056568,0,1.144154,0,0.30625,-0.197917,0,0,0
0.885,1,-4,0,1,0,0,0,-2,2.422,-1.683,1.061,-7.939,1,0,0,0,0,1,0,0,2,0,0.366142,0.512361,0.205758,0.396072,0.434387,0.255446,0.269935,0.519092,1.58867,1.504792,2.25663,1.542642,2.645691,1.098599,0,0.154871,0.56532,0.12225,0.479167,-1.830451,0,0,0
0.75,1,-4,0,2,0,1,0,-4,0.273,-2.84,2.053,-0.405,1,0,1,0,0,0,0,0,1,0,0.356462,0.26567,0.208393,0.232455,0.241448,0.134658,0.125488,0.348839,1.24718,0.673871,2.650538,0,0.204404,0,0,0,0.368463,0,0.703847,-0.966667,0,0,0
0.75,1,-4,0,1,0,1,0,0,0.867,-2.635,2.508,-2.48,1,0,1,1,0,0,0,1,1,1,0.885125,0.537991,0.775452,0.79689,0.343239,0.320996,0.396824,0.556608,3.267538,1.122575,1.782781,0.475863,0.435967,0.325274,0.045167,0.105699,0.473599,0,0.572917,-0.433387,0,0,0
0.75,2,-4,0,0,0,1,0,-3,0.449,-3.914,0.909,-4.666,0,0,0,0,0,0,0,0,0,0,0.978158,0.241653,0.507556,1.110809,0.26689,0.85232,0.303145,0.377988,2.096881,0.595842,1.536544,0,0.822578,0.201145,0,0.287452,0.180931,0,0.145833,0,0,0,1
0.875,1,-2,1,2,0,2,1,-10,0.921,-3.74,1.108,-3.425,1,1,0,1,0,1,1,1,2,0,0.647622,0.422448,0.506897,0.513112,0.209656,0.425907,0.199263,0.323661,2.737007,0.693863,0.742354,0.934567,0.718769,0.263799,0,1.593415,0.165001,0.859461,0.040972,-1.730109,0,0,0
0.75,3,-4,0,2,0,2,2,-5,2.95,-3.251,2.921,-4.496,1,0,1,0,0,0,0,0,1,0,0.834921,0.88381,1.134351,0.786114,1.248361,1.02938,0.390692,1.191673,3.061312,2.848989,3.282219,0,0.746911,0.255247,1.357354,0.754245,0.342829,1.766632,0.729167,-0.891667,0,0,0
0.75,1,-3,0,3,0,2,0,-6,1.561,-3.363,1.115,-3.728,1,0,1,0,0,2,0,0,3,0,1.137505,0.43213,0.811491,1.339062,0.298902,0.890139,0.315211,0.342567,3.129703,0.856272,0.942511,0.462482,1.949126,0.795669,0.44317,0.41444,0.062371,0.175333,0.035714,-2.42251,0,0,0
0.75,3,-4,1,2,1,3,7,-11,1.683,-8.723,0.542,-9.265,1,0,0,0,0,0,0,0,1,0,2.73942,0.585882,2.875181,2.178006,0.603136,1.69125,0.459122,1.154094,6.432488,1.533692,3.325913,0.037255,3.297178,0,1.018517,0.470082,0.108768,0.611731,0.76875,-0.952494,0,0,0
0.75,1,-5,1,0,0,1,0,-2,0.557,-5.079,0.672,-1.085,1,0,0,0,0,0,0,0,1,0,0.605488,0.15083,0.259013,0.326459,0.326003,0.302188,0.187277,0.237447,1.673685,0.799862,2.175511,0,0.307432,0.252353,0,0,0,0,1.70744,0,0,0,0
0.553,2,-3,3,2,2,4,2,-11,1.048,-4.247,1.945,-3.273,4,0,2,3,0,1,0,0,3,1,1.292073,0.232952,1.120049,1.063765,0.198279,0.634536,0.344349,0.289048,3.620461,0.587724,1.538749,0,0.699512,1.081898,0,0.322339,1.232965,0,1.809524,-2.814583,0,0,1
0.729,2,-2,0,2,0,2,0,0,2.594,-3.216,2.499,-6.216,0,0,0,0,0,0,0,0,0,0,1.247481,0.712411,1.432655,0.896212,0.660261,0.399578,0.365434,0.688213,3.912358,1.704728,3.236783,0,0.723601,0.510226,0,0.949511,0.340764,0.096614,0,-0.550298,0,0,0
0.729,1,-3,0,1,0,2,0,-8,0.668,-2.901,0.502,-5.846,3,0,2,0,0,1,0,0,3,0,0.468025,0.261682,0.489555,0.396408,0.169264,0.180781,0.183135,0.357801,1.720052,0.603409,2.26497,0,2.819142,0.095761,0,0.357364,0.060738,0.80474,0.069923,-1.379167,0,0,0
0.729,1,-4,0,1,1,1,0,-7,1.65,-6.984,4.195,-5.783,1,1,0,0,1,0,1,1,0,2,1.698317,0.593155,1.696851,1.180415,0.368232,0.933348,0.297879,0.668651,5.876483,1.688141,4.398034,0.384875,0.57015,0.056755,0.881621,0.466051,0.987506,0,0.329043,-2.279968,0,0,3
0.729,1,-4,1,1,0,2,0,-5,1.172,-3.97,0.452,-3.748,1,0,1,0,0,0,0,0,1,0,0.64564,0.806425,0.462567,0.630664,0.544427,0.383584,0.483801,0.838278,2.801964,1.971058,2.694743,1.080616,0.58938,0.580376,0.340086,0.031326,0,0.736385,0.19375,-0.385417,0,0,0
0.729,1,-3,0,1,1,1,0,-7,1.65,-6.984,4.195,-4.758,1,1,0,0,1,0,1,1,0,2,1.698317,0.593155,1.696851,1.180415,0.368232,0.933348,0.297879,0.668651,5.876483,1.688141,2.968436,0.384875,0.57015,0.056755,0.881621,0.466051,0.987506,0,0.329043,-2.279968,0,0,3
