mpqa-posCount,mpqa-negCount,BingLiu-posCount,BingLiu-negCount,AFINN-posScore,AFINN-negScore,S140-posScore,S140-negScore,NRC-Hash-Sent-posScore,NRC-Hash-Sent-negScore,NRC-10-anger,NRC-10-anticipation,NRC-10-disgust,NRC-10-fear,NRC-10-joy,NRC-10-sadness,NRC-10-surprise,NRC-10-trust,NRC-10-negative,NRC-10-positive,NRC-10-Expanded-anger,NRC-10-Expanded-anticipation,NRC-10-Expanded-disgust,NRC-10-Expanded-fear,NRC-10-Expanded-joy,NRC-10-Expanded-sadness,NRC-10-Expanded-surprise,NRC-10-Expanded-trust,NRC-10-Expanded-negative,NRC-10-Expanded-positive,NRC-Hash-Emo-anger,NRC-Hash-Emo-anticipation,NRC-Hash-Emo-disgust,NRC-Hash-Emo-fear,NRC-Hash-Emo-joy,NRC-Hash-Emo-sadness,NRC-Hash-Emo-surprise,NRC-Hash-Emo-trust,SentiWordnet-posScore,SentiWordnet-negScore,Emoticons-posScore,Emoticons-negScore,Negation-negationCount,score
1,1,0,1,0,-4,0,-2.875,0.396,-2.178,1,0,0,0,0,1,0,0,2,0,0.367203,0.107854,0.220612,0.220803,0.070564,0.27171,0.070255,0.189929,1.599725,0.325468,0.702912,0,0.925184,0.364177,0.187986,1.277771,0.280335,0,0.3125,-0.409186,0,0,0,0.896
0,1,0,1,0,-5,2.183,-5.56,2.744,-5.216,1,0,3,1,0,3,0,0,1,0,0.980682,0.595133,0.590534,0.733285,0.440561,0.460924,0.473682,0.550808,3.425687,1.157233,0.426584,1.270804,0.343043,2.105922,0.430013,2.899724,0.298972,0.765538,0.92128,-2.02008,0,0,0,0.896
0,3,0,3,1,-4,0.304,-10.521,1.501,-5.926,2,2,2,3,1,3,1,1,3,1,1.007872,0.394378,0.695807,0.846127,0.22891,1.333243,0.264772,0.300759,3.225067,0.6446,0.53789,0,0.224489,1.059131,0.435965,5.513132,0.018428,0,0,-1.067147,0,0,0,0.896
1,2,1,1,3,0,1.298,-2.638,1.046,-1.069,0,1,0,0,1,0,1,1,0,1,1.035348,0.354188,0.57099,0.787019,0.27577,0.894905,0.169843,0.463122,2.567371,1.254606,0.047555,0.061206,0.404327,0.053112,0.344825,0.106862,0.602886,0,2.814807,-0.375,0,0,0,0.896
0,1,1,1,4,0,0.662,-2.373,1.104,-5.948,0,1,1,0,1,2,1,1,1,1,0.45982,0.143268,0.758495,0.429442,0.074293,0.492511,0.094104,0.144215,2.342921,0.307944,0.374525,0.191221,0.294919,3.4219,0.487483,2.271271,0.687191,0,0.395833,-0.513352,0,0,0,0.896
0,1,0,1,0,-2,0,-2.71,0.58,-0.794,0,0,1,0,0,1,0,0,1,0,0.086252,0.274714,0.021483,0.063411,0.126487,0.057016,0.049663,0.165196,0.214043,0.373414,0,0,0,0.202429,0.345204,1.679451,0.00592,0,0.03125,-0.583333,0,0,0,0.896
1,3,0,3,0,0,0.628,-7.236,2.274,-1.232,1,0,1,2,0,2,0,0,4,0,0.574874,0.543613,0.381281,0.585939,0.252842,0.314833,0.31718,0.468325,2.162278,1.100171,0.365065,0.368976,1.416909,1.13806,0.44317,2.157908,0.300042,0.151293,1.076786,-1.849797,0,0,1,0.892
0,1,0,1,0,-6,0.319,-1.526,2.693,-0.582,0,0,0,0,0,1,0,0,2,0,0.031371,0.029289,0.091283,0.045179,0.037142,0.020978,0.019458,0.026292,0.30344,0.145389,0.201797,0,0.588287,0,0.619082,2.206914,0,0,0.084524,-0.552083,0,0,0,0.888
2,2,1,2,4,-5,0.477,-7.54,0.545,-2.825,1,0,1,1,0,1,0,0,1,0,0.493233,0.249243,0.472092,0.42242,0.250042,0.222886,0.421751,0.285126,1.997985,0.819833,0.024347,0,0.418197,0,0,0.31214,1.172152,0,1.603274,-1.139583,0,0,0,0.875
0,0,1,0,0,0,0.492,-5.023,2.838,-4.618,0,0,0,0,0,0,0,0,0,0,0.573694,0.4307,0.3924,0.555305,0.23673,0.360869,0.20232,0.468398,2.382609,0.912236,0.6991,0,0.350278,0.9105,0.137963,1.842443,1.352309,0,0.074877,-0.676488,0,0,0,0.875
0,0,0,0,0,-1,0,-6.542,0,-4.741,0,0,0,0,0,1,1,0,1,0,0.529734,0.113885,0.665312,0.367842,0.106174,0.67386,0.105877,0.221074,1.629541,0.361371,0.376334,0,0.054813,0.078836,0,2.31274,0,0,0,-0.044231,0,0,1,0.875
0,1,0,2,0,-3,0.449,-3.474,0.208,-1.689,0,0,0,0,0,1,0,0,1,0,0.357577,0.119094,0.317173,0.111612,0.18571,0.529924,0.049126,0.040514,0.976338,0.302806,0.418315,0,0.090744,0.364177,0.138675,1.848613,0,0,0,-0.409186,0,0,0,0.875
0,1,0,1,0,-4,1.193,-6.304,1.527,-12.743,1,0,1,1,0,1,0,0,1,0,1.002055,0.614036,0.853484,0.838923,0.409997,0.6662,0.356937,0.748506,4.055134,1.6322,2.008255,0.540588,1.113616,0.522646,0.319383,1.69978,0.755813,0,0.25,-1.517857,0,0,2,0.87
0,1,0,2,0,-6,0.332,-3.258,0.177,-2.056,1,0,2,0,0,1,0,0,2,0,0.286228,0.197159,0.446779,0.286822,0.177625,0.15281,0.209883,0.136052,1.179401,0.427531,0.380575,0,0.541669,0,0,1.679451,0.137389,0,0,-0.754167,0,0,0,0.861
0,1,0,1,0,-3,2.773,-2.721,3.593,-6.259,0,0,0,0,0,0,0,0,0,0,0.915631,0.706053,1.255805,1.029188,0.697983,0.935234,0.374582,0.800387,3.626504,1.879071,0.642209,0.058946,1.051699,1.821105,1.796978,0.949393,0.00592,1.223602,0.09375,-1.518032,0,0,0,0.854
0,1,0,0,0,0,0.444,-2.196,1.159,-3.792,0,0,0,0,0,0,0,0,0,0,0.799787,0.49953,0.401511,0.572583,0.275416,0.276392,0.252485,0.538444,2.650044,1.086288,1.027185,0.470916,0.601113,0.436577,0,1.879047,0.331441,0,0.041667,-0.505456,0,0,0,0.854
0,2,0,1,0,-2,1.701,-7.592,3.934,-6.368,0,0,0,0,0,1,0,0,1,0,1.22547,0.593395,0.965362,1.051586,0.425813,1.236887,0.408369,0.554618,4.148308,1.232878,0.889139,0.36706,0.505494,1.451313,1.608866,4.76561,0.054317,0.087666,0.41369,-2.511066,0,0,0,0.854
0,0,0,0,0,0,1.462,-1.118,0.762,-4.313,0,0,0,0,0,0,0,0,0,0,0.4535,0.473411,0.343512,0.473503,0.448495,0.161714,0.363547,0.542964,1.446729,1.219748,0.537723,0.356106,0.315433,1.771368,0.009786,0.902496,0.335559,0.852988,0.058469,-0.093183,0,0,0,0.854
1,0,1,0,2,0,4,-2.077,3.364,-4.522,0,1,0,0,1,0,1,1,0,1,0.659761,0.606701,0.744232,0.768928,0.49768,0.262995,0.361177,0.647842,2.782899,1.744091,1.569978,0,0.648283,2.241788,2.22253,1.060484,0,0.243995,0.3046,-0.506731,0,0,0,0.854
0,3,0,3,0,-7,0.402,-7.722,3.325,-3.863,1,0,2,1,0,3,0,0,3,0,0.779967,0.550062,0.551637,0.780171,0.300338,0.447904,0.406423,0.550972,2.865449,1.095989,2.108648,0,0.580367,0,0.46945,4.705221,0,0.207212,0.009375,-1.46875,0,0,0,0.839
0,1,1,2,0,-2,1.012,-5.644,3.708,-3.349,0,0,1,1,0,0,0,1,3,0,0.727181,0.676697,0.532953,0.60205,0.428243,0.279642,0.291985,0.502977,2.75,1.371169,1.381961,0,1.724902,0.481893,1.880536,3.005426,0.975357,0.287435,0.681424,-1.760074,0,0,0,0.833
0,0,0,0,0,0,0.449,-0.435,0.213,-2.837,0,0,0,0,0,0,0,0,0,0,0.204612,0.295906,0.08065,0.102401,0.329687,0.05507,0.133199,0.269454,0.433553,0.698906,0.167987,0,0,2.33841,0,0.707409,0.00592,0,0.03125,0,0,0,0,0.833
0,1,0,1,0,-4,1.604,-5.905,2.364,-6.698,0,0,0,0,0,1,0,0,1,1,1.306575,0.862204,0.859276,1.368062,0.517115,0.743106,0.499223,0.834082,3.877858,2.05801,1.397123,1.703985,1.093976,1.296418,0.178109,1.817038,1.085868,1.25458,0.083333,-1.351488,0,0,0,0.833
3,1,0,1,1,-2,1.878,-6.403,1.58,-3.639,0,0,1,0,0,1,0,0,1,1,1.311116,1.150241,0.799685,1.109683,0.829047,0.461226,0.637614,1.2596,4.713739,2.675846,1.804459,0.329863,0.691648,0.267429,0,1.679451,0.94887,0.519566,1.342647,-0.395833,0,0,0,0.833
0,1,1,1,0,-2,3.509,-5.231,4.213,-5.913,0,0,1,0,0,1,0,0,1,0,0.528416,1.26633,0.303303,0.483213,0.987974,0.397832,0.441527,0.795352,2.413042,2.155483,0.641092,0,2.279313,0.695056,1.576578,2.196329,0.431631,0,0.09375,-0.905208,0,0,1,0.833
3,3,1,3,5,-5,0.831,-8.39,1.291,-9.111,1,2,0,1,1,2,0,0,2,1,0.985779,0.367799,1.373783,1.159708,0.189426,1.030738,0.335466,0.282482,3.882371,0.687474,0.915102,0,1.028133,5.698204,0.341551,2.402731,0.449251,0,0.370833,-2.627936,0,0,2,0.833
0,2,0,2,0,-1,0.443,-3.731,0.393,-3.832,0,0,0,1,0,1,0,0,1,1,0.302704,0.135163,0.134027,0.243328,0.059502,0.480731,0.07356,0.180813,1.168166,0.262219,0.19106,0,0.2549,0.006043,0,2.533354,0.928595,0.09886,0.177083,-0.75,0,0,0,0.833
3,0,2,1,0,-4,2.656,-2.818,1.458,-7.535,0,0,0,0,0,0,1,0,0,0,1.652895,0.407276,1.681835,1.456948,0.329913,1.099009,0.430999,0.629556,4.532671,1.330474,1.535834,0,1.65335,1.597556,0.711922,2.01522,0.066658,0,0.990012,-0.479167,0,0,0,0.833
0,2,0,2,0,-5,0.189,-8.077,2.526,-2.655,1,2,1,1,0,3,1,0,2,0,0.51333,0.467475,0.556976,0.589131,0.321998,0.198888,0.16284,0.537428,1.889263,1.107779,0.062188,0.382005,0.416984,1.62479,0.601335,3.950971,0.332239,0,0.036802,-0.66369,0,0,0,0.833
1,0,1,0,5,0,2.928,-1.354,1.364,-6.886,0,0,0,0,0,0,0,0,0,0,1.620535,1.134109,1.282111,1.441245,1.267645,0.748165,1.024075,1.751161,5.059911,3.575063,0.080662,0.38575,0.824282,1.469023,1.060795,0.696817,1.652555,0.537897,1.779085,-0.395833,0,0,1,0.833
1,0,0,0,0,-1,2.985,-4.59,2.501,-7.022,0,0,0,0,0,0,0,1,0,0,1.422387,1.074063,1.23527,1.199822,0.784942,0.9712,0.867608,1.283518,6.004516,2.225788,1.468247,0,1.041852,0.122503,2.566668,1.680873,1.50391,0.134473,0.572917,-0.864583,0,0,1,0.814
3,0,2,0,3,-2,1.921,-7.645,4.607,-3.832,0,2,0,0,1,0,0,1,0,3,0.734067,0.730458,1.04669,0.838907,0.537251,0.495383,0.385005,1.00003,3.821772,2.484915,0.264221,2.49836,0.625033,1.18392,0.05532,0.740726,2.272896,0,1.200487,-1.027967,0,0,0,0.812
0,1,0,1,0,0,0,-2.03,0,-1.6,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.220582,0,0,0,-0.104167,0,0,0,0.812
1,3,1,3,0,-4,1.905,-9.92,5.925,-8.649,0,0,1,1,0,3,0,0,3,0,1.772168,1.192245,1.380344,2.4712,1.0199,2.95703,0.649948,0.899529,6.953298,2.720621,0.150503,0.327104,1.944279,4.551957,0.390069,3.234301,0.519804,1.029396,0.199107,-3.423313,0,0,0,0.812
0,0,0,0,0,0,0,-0.627,1.172,-1.832,0,0,0,0,0,0,0,0,0,0,0.108427,0.193117,0.059194,0.073225,0.093516,0.070929,0.064335,0.11629,0.383957,0.313793,0,0.790381,0,0.661172,0.867147,2.542129,0.238379,0,0.1875,0,0,0,0,0.812
3,1,2,1,2,0,2.923,-5.114,3.544,-3.613,0,1,1,1,0,1,0,1,2,1,0.708709,0.76013,0.662254,0.697261,0.418928,0.373311,0.271206,0.904796,3.159188,2.304526,0.959933,1.639699,0.186891,3.228929,0.732505,0,2.138281,0,3.145767,-0.645833,0,0,0,0.812
0,3,0,3,0,-7,0.736,-4.714,1.806,-7.431,2,0,2,2,0,2,0,0,2,0,0.280443,0.297291,0.120657,0.231876,0.249676,0.162353,0.090524,0.415823,1.131636,0.9618,0.038731,0.414742,0.612368,3.431153,1.28966,1.11022,0.416463,0.442052,0.1125,-4.14508,0,0,0,0.812
2,0,2,0,5,0,6.366,-4.743,2.303,-9.957,0,1,0,0,1,0,0,1,0,1,1.985905,1.325373,1.714727,1.879886,0.957594,1.162334,1.044319,1.199209,8.573259,2.664185,0.74791,0.178066,0.922733,2.443269,1.306992,1.836924,0.851298,0.176117,2.994841,-0.4375,0,0,2,0.812
0,1,0,1,0,-2,0,-4.133,0.005,-2.152,0,0,1,0,0,1,0,0,1,0,0.498051,0.208137,0.48669,0.38585,0.119038,0.36818,0.133772,0.147694,1.914789,0.44717,0.053517,0,0,0,0,1.679451,0.212799,0,0.5625,-0.625,0,0,0,0.812
0,0,0,0,0,0,1.692,-3.995,5.151,-7.798,0,0,0,0,0,0,0,2,0,0,0.773342,0.493603,0.526087,0.719945,0.267196,0.41919,0.387749,0.615283,2.977064,0.877298,1.987324,1.215827,2.105332,4.203192,0.373262,0.814466,0.299781,0.325679,0.759049,-0.041667,0,0,1,0.811
0,0,0,0,0,0,0.282,-0.203,3.384,-1.153,0,0,0,0,0,0,0,0,0,0,0.200011,0.22827,0.238425,0.259735,0.093759,0.133123,0.069136,0.189287,0.732993,0.357543,0.291961,0.097412,0.022065,0.014828,2.051824,2.038641,0,1.337519,0.084524,-0.3125,0,0,0,0.81
0,1,0,1,0,-3,0,-0.222,0,0,0,0,0,0,0,0,0,0,0,0,0.168411,0.130483,0.048269,0.087393,0.163527,0.034598,0.142017,0.244633,0.46335,0.533171,0,0,0,0,0,0,0,0,0,-0.375,0,0,0,0.806
0,0,0,1,0,-3,2.215,-3.998,2.348,-4.08,0,0,0,0,0,0,0,0,0,1,1.078598,0.979842,0.633701,0.89494,0.776793,0.433418,0.410058,0.944837,4.155097,2.75517,1.426193,1.744746,0.636886,2.662549,0.178109,1.402008,0.405962,0,0.333333,-1.46648,0,0,0,0.792
0,2,0,3,4,-8,3.523,-6.728,1.552,-6.71,1,0,2,0,1,1,0,0,2,1,0.792935,0.760417,0.619378,0.57853,0.673561,0.26648,0.491667,0.6296,2.911096,1.546366,2.363949,0.151824,0.415031,0.355634,1.011653,3.33677,1.546008,0.437836,0.140459,-2.169421,0,0,0,0.792
0,1,0,1,0,0,0.415,-2.402,0.288,-1.943,0,0,0,1,0,1,0,0,1,0,0.34664,0.201086,0.383028,0.333478,0.165697,0.152703,0.139522,0.268762,1.40372,0.503715,0.109419,0,0.054813,0.042411,0.12838,2.220582,0.031727,0,0,-0.104167,0,0,0,0.792
0,2,0,1,0,-2,0,-1.846,1.763,-0.858,0,0,0,0,0,1,0,0,1,0,0.087444,0.204443,0.062926,0.100202,0.149781,0.07936,0.095183,0.133518,0.509303,0.316538,0,0.036017,0,0.488722,0.115879,2.340439,0.029041,0,0,-0.572917,0,0,0,0.792
1,0,0,0,0,0,0.916,-1.164,2.617,-5.537,0,0,0,0,0,0,0,0,0,0,0.487355,0.453588,0.550429,0.477273,0.305831,0.178435,0.224788,0.426008,1.76971,0.839006,0.351584,0.180817,0,0.568447,0.604991,6.120647,0.281833,0,0.411992,-0.3125,0,0,0,0.792
0,3,0,3,0,-6,1.373,-1.8,1.397,-4.661,0,0,2,0,0,0,0,0,2,0,0.31632,0.207113,0.110869,0.225951,0.171358,0.085563,0.116987,0.221778,0.891491,0.566005,0.533418,0.115256,1.770908,0,0.326514,0,0,0.599627,0,-1.841621,0,0,0,0.792
0,3,0,2,0,-5,1.372,-7.984,2.569,-5.467,1,2,0,2,0,2,0,2,3,2,0.928642,0.502621,0.771198,1.28909,0.349532,0.806923,0.246011,0.641237,2.982387,1.219006,0,1.192304,1.858564,2.735851,0.34387,3.392287,0.268729,0.484272,0.5625,-2.07063,0,0,0,0.779
0,1,0,2,0,-2,0.681,-2.209,0.681,-7.958,0,0,0,0,0,1,0,0,1,0,0.623826,0.192615,0.650124,0.467102,0.121514,0.263515,0.121968,0.44971,2.077432,0.609862,0.439793,0,2.10111,0.349547,0.096277,3.346314,0,0.1693,0,-0.341675,0,0,0,0.771
0,1,0,1,0,-5,1.41,-1.883,2.369,-1.204,1,0,0,0,0,1,0,0,2,0,0.791634,0.415542,0.486716,0.654541,0.31883,0.280974,0.164647,0.379457,2.138572,1.165753,0.27196,0.035635,0.496259,0,1.371914,0.446637,0.148332,1.244503,0.3125,-0.1875,0,0,0,0.771
1,2,0,2,0,-5,3.156,-6.658,2.917,-5.048,1,0,0,1,0,2,0,0,2,0,1.20337,1.074019,0.886438,1.226844,1.827648,0.847672,0.438937,2.235641,3.70256,4.045699,0.675888,0,0.672234,0,1.252509,6.760601,0.313212,0.784587,0,-0.740278,0,0,0,0.771
4,1,1,1,6,0,3.655,-5.502,1.297,-5.282,0,0,0,0,0,0,1,0,0,0,1.369329,1.689053,0.855348,1.028684,1.802637,0.723119,0.973433,1.428477,4.771412,3.736655,1.513807,0.135361,0.260111,0.278855,0.50043,1.201521,0.678997,0.708913,1.957328,-0.472832,0,0,0,0.771
3,3,2,2,4,-3,1.166,-7.597,1.976,-4.918,1,0,1,1,0,2,0,0,2,0,1.568658,0.853018,1.481565,1.524514,0.542697,0.769731,0.652078,0.949658,5.993592,1.601787,0.321043,0.247403,0.846784,0.766959,0.330076,1.719626,0.883901,0,2.977363,-3.199801,0,0,0,0.771
0,0,0,0,0,0,0.2,-1.169,0.096,-1.937,0,0,0,0,0,0,0,0,0,0,0.121953,0.246134,0.072001,0.109969,0.165431,0.094699,0.170221,0.190108,0.643861,0.419562,0,0.050193,0,0.495535,0,2.407783,0,0.151293,0.058469,-0.125,0,0,0,0.771
2,2,2,2,6,-8,5.636,-6.502,2.535,-6.155,1,1,0,0,2,0,0,0,1,2,1.891478,0.981311,1.54247,1.363137,0.748003,1.500526,0.649765,0.966021,4.816597,2.492008,2.519409,0.158047,0.923735,0.106224,2.4488,1.70034,0.136518,1.054483,1.947321,-0.667468,0,0,1,0.771
0,0,0,0,0,0,5.74,-5.357,3.062,-11.079,0,0,0,0,0,0,0,1,0,1,2.373194,1.202434,1.741951,1.462927,0.673812,1.557697,0.622986,1.065114,4.989414,1.955792,1.424929,0.891582,1.727784,0.044539,0,2.21694,0.208112,0.900518,0.045833,-0.043269,0,0,0,0.771
2,1,2,1,2,-4,3.354,-5.313,3.488,-1.623,0,0,1,0,0,2,0,0,2,1,0.531234,0.508054,0.568375,0.533969,0.449377,0.239329,0.279421,0.612654,1.938392,1.484973,0,1.237991,0.968917,0.385877,0.061866,2.836275,1.294177,0,2.616303,-1.208333,0,0,0,0.771
1,2,0,2,0,-4,1.609,-6.933,2.127,-9.533,0,1,0,0,0,1,0,1,2,1,1.014245,0.593074,1.147999,0.964853,0.38711,0.365915,0.301023,0.63031,3.857712,1.502047,0.085231,0.68643,0.228819,0.640659,0.281214,2.440818,0.606899,1.477646,0.522917,-1.020833,0,0,0,0.771
0,1,0,1,4,-2,0.596,-4.021,0.991,-3.515,1,0,1,0,0,1,0,0,1,0,0.665386,0.427706,0.824555,0.6736,0.228265,0.452026,0.388312,0.277297,2.47268,0.594028,0.310538,0.037255,0.591574,0.363926,1.229687,0.899032,0.414105,0.288281,0.025,-1.266667,0,0,1,0.771
0,3,0,3,0,-7,1.184,-7.15,1.399,-12.329,0,0,0,0,0,0,0,0,0,0,1.730102,1.157568,2.27243,1.766954,0.514733,1.979828,0.871877,0.984684,5.777169,1.90259,1.409278,1.960769,2.100038,1.545867,0.206512,2.145131,0.47142,0.136731,0.579303,-2.558333,0,0,0,0.771
0,1,0,0,0,0,2.092,-8.286,3.032,-9.435,0,0,0,0,0,0,0,0,0,0,0.930571,0.502123,1.04031,0.808847,0.72336,1.322037,0.174783,0.826103,2.646571,1.588154,0,0,0.067508,0,0.518191,4.056596,0.738038,0,0,0,0,0,0,0.771
0,1,1,1,4,-1,1.931,-3.088,1.699,-4.944,0,0,0,0,0,0,1,0,1,0,1.136257,0.846139,1.108594,0.944359,0.599715,0.542318,0.600519,0.91569,3.884904,2.088242,0.725488,0.829547,0.439055,0.329653,0,2.368287,0.496898,0.166457,0.581638,-0.667029,0,0,1,0.767
0,1,0,1,0,-1,0.4,-1.079,0.227,-1.373,0,0,0,0,0,1,0,0,1,0,0.04626,0.024868,0.0457,0.039222,0.01519,0.023763,0.010046,0.016321,0.248427,0.05959,0.513625,0,0,1.258806,0,0,0,0,0,-0.197917,0,0,0,0.766
0,1,1,1,0,-2,0.909,-9.045,2.714,-3.785,0,1,0,0,0,1,0,0,1,0,0.622329,0.714079,0.395642,0.576476,0.376324,0.362364,0.34448,0.804845,3.020062,1.719086,0.340013,0.178913,0.013238,1.557678,1.100914,2.161797,0.433228,0,0.470212,-1.054167,0,0,1,0.754
3,2,3,2,8,-2,2.895,-5.924,4.711,-2.12,2,4,2,1,4,4,3,4,3,4,0.413834,0.208052,0.263062,0.356191,0.080828,0.316164,0.108403,0.115798,1.911989,0.319388,1.600525,0.106641,0.657018,0.585291,2.481752,0.208482,1.216387,0.497259,3.477009,-0.83125,0,0,1,0.754
1,0,0,0,2,0,0.449,-3.069,0.208,-1.735,0,0,0,0,0,1,0,0,1,0,0.270576,0.369798,0.153308,0.201419,0.514462,0.154136,0.199796,0.638004,1.088728,1.347153,0,0,0.085605,0.214078,0,0.480052,0,0.108699,0.349802,-0.5625,0,0,1,0.75
0,4,0,4,0,-7,1.074,-8.33,1.479,-4.738,2,1,3,3,0,3,0,0,4,2,1.30348,0.836429,0.804779,1.229948,0.992317,1.098499,0.467165,0.844801,4.03617,2.245723,0.214063,0.250737,3.30818,0.054834,1.657458,0.525575,0.395763,1.053702,0.479167,-2.326488,0,0,0,0.75
0,1,0,1,0,0,1.812,-2.409,3.215,-2.768,0,0,0,1,0,1,0,0,1,1,0.751334,0.421677,0.686382,1.045593,0.272821,0.969611,0.279451,0.548549,3.028827,1.010897,0.546503,0.652346,0.385726,0.851653,1.497181,2.014755,0.203759,0.144133,0.1875,-0.114583,0,0,0,0.75
0,1,0,0,1,-1,2.698,-8.777,2.105,-9.42,0,1,0,1,1,0,0,1,0,3,1.975903,0.862299,1.736788,1.433648,0.701127,1.210335,0.517215,1.074353,6.288671,2.446989,0.808824,0.573403,1.633935,0.512449,1.064178,2.367772,0.558075,0.850968,0.414583,-0.564583,0,0,1,0.75
1,1,1,1,2,0,0.356,-3.885,1.216,-3.473,0,0,0,0,0,1,0,0,1,0,0.878573,0.596234,0.905061,0.975121,0.346691,0.474682,0.507232,0.521196,3.691913,1.181976,0.094073,0.219972,0.378628,0.750992,0.511936,1.579121,0.345521,0.151293,1.598864,-0.700852,0,0,0,0.75
1,3,0,3,0,-4,0.908,-5.425,0.227,-3.903,1,0,1,1,0,1,0,1,1,1,0.956873,0.618934,0.487665,1.121076,0.412443,0.960539,0.438111,0.671784,3.679514,1.597201,0.105472,0.808983,0.178964,1.309908,1.187455,0.961438,0.38414,0.690461,0.322917,-1.430655,0,0,1,0.75
0,1,0,2,0,-2,0,-3.769,0.633,-1.415,0,0,1,0,0,1,0,0,1,0,0.262424,0.300822,0.358089,0.286428,0.261728,0.154297,0.169463,0.378089,1.198289,0.836602,0.110097,0,0.088092,0.277977,0,2.736882,0.22584,0,0.25,-0.25,0,0,0,0.75
