score,tweet
0.854,I #love to #laugh and share #laughter as way to share #joy
0.854,second day on the job and i already got a 45 dollar tip from a dude whose was constantly twitching his eye LOLOLOL #cheering
0.854,I'm such a fan of endless #laughter with #friends and enjoying #happiness together. #FridayFeeling #weekend
0.854,the thought of you gets me through my day. the thought of your smile never fails at making me smile 💚
0.849,"Today I reached 1000 subscribers on YT!! #happy, #goodday, #thankful"
0.846,Getting my comedic relief w/ @SofiaVergara during season premiere of #ModernFamily. Just what a girl needs! #hilarious
0.84,@palmtreesarah @WorthingTheatre had more fun than the funniest person in funsville..... Much hilarity as usual.... Thank you ❤️
0.84,@shwood @mpforstein OMD you 2 are cracking me up! Thanks for the follow Brian. I need some levity to balance the cynicism I share w/Michael😀
0.84,"@DorH84607784 Oh FANTASTIC, I bet it was super exhilarating  🤗😍"
0.84,@ContourCosmetic well done ladies! A great award for an amazing team. A delight to present the award to you.
0.84,Vals always smiling I love it #gbbo
0.833,Had a great time at Skywalkers open gym tonight! Come our every Wednesday from 7-8 in Hillsboro and train with us! #opengym #cheer #tumbling
0.833,I love how cheery and adoring @JackHoward gets every time he produces new content.
0.833,Good morning joyful people. Choose happiness to have a great day today #morning #joyful #happiness #grandmercurejktkemayoran
0.833,Retweeted GunnySmith93 (@Stephen21Smith):\n\nDays like today I am happy to be alive! #blessed 
0.833,"Wishing a very Happy Birthday to our awesome dancer, Ruthann!!! We hope your day is magical! #bday  #eatcake"
0.833,Thank you @twitter for the balloons today. #smile #goodday #48
0.827,Omg. You've got to watch the new series 'This is Us'.....wow. Best tv show I've seen in a long time.\n#tears #laughter #moretears
0.827,Today is the first time any math professor let us live early before the class time !!! #15 min #feelsgood #happy #wednesday #
0.827,Food that gets delivered 😍🙌🏻 #cheering #happy
0.82,You know you're in love when all you can do is smile whenever you talk about how he is to someone.
0.82,What a #lively #lovely #shower 😇 ..
0.82,"What a great training course, lots of photos, fun and laughter. Photo's will be up soon #Boostercourse #fun #laughter"
0.815,@EmmyMitchell_  hahahaha you're ridiculous!!! But thank you a joyous evening xx
0.812,I am so happy I have come across @HilltopBindery notebooks! #handmade would love to talk to you! #musthave #want #need #happy #amazing 📖🖋
0.812,second day on the job and i already got a 45 dollar tip from a dude whose was constantly twitching his eye LOLOLOL 
0.812,Made my night that @GordonReid91 Reid was included in tonight's hilarity. Some of those points were brilliant. Thanks @andy_murray
0.812,"By the way, I'm wearing the smile you gave me today. \n #you #me "
0.812,@airvistara as always it was indeed a wonderful experience flying with you guys today #bestinbusiness #delight #happyme
0.812,"@alpuzz Ah, but once I got it to work, there was much rejoicing! Lol thanks will get it to do taht now."
0.812,Getting my comedic relief w/ @SofiaVergara during season premiere of #ModernFamily. Just what a girl needs! 
0.812,"@MrHenvin Thank you, happy birthday to you as well!"
0.808,"I really love the customer service @LifeProof they're always so nice, helpful and cheerful !"
0.808,"@ChrisBooker @ThePerezHilton On PHP54  and though the Kardashian stuff goes over my head, you're both hilarious, like gleeful little boys 😂😂"
0.796,"@TheSandraGal Glad to see that you're having fun in the sun. Water sports are always fun, challenging, and exhilarating. #happiness #beauty"
0.792,"May your day be filled with #peace#love n #laughter .Have a very nice day full of #Success #Jummah Mubarak😇 , good morning☕ @WaseemBadami"
0.792,2 days until #GoPackGo and 23 days until #GoGipeGo..... I'm so excited! 
0.792,It's funny that everyone came in my life as they like how far I'm cheerful and self confident could make me 3abla kaml fg2a kda 😂😂😂
0.792,Happy Birthday @Brooke56_56  #cheerchick #jeep #jeepgirl #IDriveAJeep #jeepjeep #Cheer
0.792,TheNiceBot: melbjs ;) Here is a smile and a wink from across the web. #TheNiceBot
0.792,"A #smile brightens your day and the day of everyone around you, so remember to #smile, it's #free. :-)"
0.792,I'm watching joyful noise for 100000000 time cuz I love this movie and @KekePalmer
0.792,"Indian time it's already ur birthday @akshaymarwah22. Have a stupendous birthday. Wish you more success, laughter and lots of love. Hugs. x"
0.792,"now that I have my future planned out, I feel so much happier #goals #life  #igotthis #yay"
0.788,"#BridgetJonesBaby is the best thing I've seen in ages! So funny, I've missed Bridget! #love #hilarious #TeamMark"
0.78,Had a great time at Skywalkers open gym tonight! Come our every Wednesday from 7-8 in Hillsboro and train with us! #opengym  #tumbling
0.78,@jadelalaa_ hahaha and u da best bro ever luv u hearty hearts
0.78,@morgannbroom yes ❤️❤️ &amp; cheering homecoming game!
0.771,I would like to congratulate the people of Saudi Arabia a happy and a joyous national day. May you all have a great time! #اليوم_الوطني
0.771,@JackAndJack I'm so lively for listen💗😀
0.771,@Nick_Offerman I'll be there!! Can't wait for all the !
0.771,@TheMandyMoore You are beyond wonderful.  Your singing prowess is phenomenal but damn... I'm just elated to watch you act again. #ThisIsUs 🤗
0.771,@ahtareen1 @ReginalAleman @krelifa @zamansj64 @AwiexaB Very pleasing ty!
0.771,@Zerfash — can't wait.' She said cheerfully and grinned.
0.771,@madisenrb she's so sweet &amp; playful 😍
0.771,"Good morning, Trondheim! #optimism #productivity ⛅️❤️🇳🇴🏢💻🖥🏋🏻💪🏼📺🍿"
0.771,Thank you disney themed episode for letting me discover how amazing the @BlackishWriters are! #hilarious
0.771,having a pet store worker ask 'do you want to play with them?' is the most exhilarating feeling
0.769,@yoshi_lucky Good morning.Let's start with a smile!\nLet's enjoy life in a cheerful way!\nDon't worry be happy!
0.769,Currently listening to @ScottFoxonair &amp; @KatCallaghan @Z1035Toronto podcasts!! Can you guys please move to #yvr ? #hilarious #missyou
0.76,@Jen_Lee @mostlymartha @edotwoods we just found thin mints in a freezer clean. i couldn't be more elated.
0.76,@Myahrissavietta I'm cheery now 😘😉
0.76,Probably the best OT period I've ever seen. Absolutely exhilarating. #WCH2016 #TeamNA
0.76,Rewatching 'Raising Hope' (with hubs this time) and totally forgot how hilarious it is 😂 #HereWeGo
0.76,@airvistara as always it was indeed a wonderful experience flying with you guys today #bestinbusiness  #happyme
0.76,"@followAdamA looking back on recent tweets seen, this one right here is great #perfect #hilarious #Speechless #deal"
0.76,I found #marmite in Australia. `:) #happy
0.75,@D_McMenemy It'll be easy to spot the parade of tiny weans in expensive jammies. Really is hilarious!
0.75,"Wishing a very Happy Birthday to our awesome dancer, Ruthann!!! We hope your day is magical! #bday #happy #eatcake"
0.75,"I love seeing happy women, that glow is something real."
0.75,Aw there's a young fox outside on the grass just jumping around all playful and having a little stretch 🙈 soo cute 🐺
0.75,"North America vs Sweden is the most exhilarating hockey I've ever watched 😅 wow , mackinonns mitts are silky #TeamNA #WCH2016"
0.75,Just had #efficient #great #smiling service @AppleBelgique store. Impressive team of geniuses ready to redefine what customer service is!
0.75,"By the way, I'm wearing the smile you gave me today. \n#you #me #smile"
0.745,Use your smile to change the world. Don't let the world change your smile.' #quote #actorslife  #love #hardworkpaysoff #fun
0.74,You're so cute @katienolan #truelove #hilarious @GarbageTime #beautiful &amp; #graceful never heard explicits spoken with such elegance. #Mingo
0.74,"Always be #cheerful, #smile often make others happy, care for others, help who feel helpless and #vulnerable. Life feels good #leadership"
0.74,"What a great training course, lots of photos, fun and laughter. Photo's will be up soon #Boostercourse #fun "
0.74,LOVE LOVE LOVE #smile #fun #relaxationiskey
0.74,@Matalan when the lady in Xmas dept answers your call as 'hello mrs Xmas' yep true story #winning #Xmas #cheer #goodcustomerservice ❤ 📞👍😊
0.74,Happy birthday @iRidhiDogra keep smiling always.Wishing you a wonderful year ahead mam
0.731,"Good night, Twitter world! Wish you all good sleep / productive jovial days! :)"
0.729,@RobRiggle @joelmchale @NFLonFOX I still can't get jimmy garoppolo out of my head and it's been almost 3 weeks. Thanks a lot! #hilarious
0.729,My friend just messaged me 'ugh I'm so hungry I can't wait for breakfast' #socialmedia #WineWednesday #hilarious #funny #laughing #happy
0.729,Thank you disney themed episode for letting me discover how amazing the @BlackishWriters are! 
0.729,@stackee Charlie attempted to suffocate me with a cushion for cheering so much at the great news 😂😂
0.729,@clonmacart I'm beaming with glee.
0.729,Smile at people and see what happens.  I think you'll be surprised #smile more #surprisepeople #influenceinternational
0.729,"Something about these cool, breezy fall days.. 😍🍂🌾🍁"
0.729,Food that gets delivered 😍🙌🏻  
0.729,@ArtyBagger With or without cake seeing your wee cheery face is always a joy xx
0.729,"I am a simple human being who just really loves @aliciakeys like truly, madly, deeply rejoicing in her existence, class and queendom"
0.729,"I just really enjoy bright colors, like the colors you would see downtown Miami"
0.72,"Thanks for making our Mass with Fr. Vallely respectful, meaningful, and joyful @ACSSCrusader @AssumptionHCDSB ! #SeeWithEyesOfMercy"
0.72,Good morning joyful people. Choose happiness to have a great day today #morning  #happiness #grandmercurejktkemayoran
0.72,@LiamJamesVernon love the optimism!! BLUE MOON!
0.72,#ContentwiththeLordsPortion:O satisfy us early with thy #mercy;that we may #rejoice &amp; be glad all our days.#Ps 90:14 #gladness #joy #delight
0.72,@RealestCastiel just sitting close to him for an extended period of time was exhilarating because he's so beautiful and lively lol
0.708,TheNiceBot: WSJNordics You make the world a more joyful place. #TheNiceBot #الخفجي
0.708,@PriiiincesssE thanks for distracting me from my paper to watch this hilarious video 😂
0.708,@grahnort wonderful experience watching you yesterday at. @BBCLetItShine thankyou for the 
0.708,@LindseySanford @simplymeasured this makes me giggle with glee!
0.708,Live simply. Dream big. Be grateful. Give love. Laugh lots. - Unknown #quote #inspiration #happy
0.708,Be #happy. Be #bright. Be YOU :) #identity #TimelessTips #friendship #family #forest #water #family #TrueLove #God #RoadSoFar #you #LifeTrip
0.708,"When you wake up from a dream laughing at something stupid, and that makes you laugh more "
0.708,@JoshNoneYaBiz I love parody accounts! Well done. Vote for #Trump. #lol 
0.708,Zephaniah 3:17 He surely is rejoicing over us with singing...such romance and so needed today!!
0.708,@imDevinLopez happy bday bro! 👌🏻
0.704,@itsyourgirl_Z happy birthday :) have a blessed day love from Toronto :) #bday #smile
0.704,"Mate the thing I get excited about in my profession are mad. A client said she opened her bowels, I'm rejoicing"
0.7,Riggs dumb ass hell lolol #hilarious #LethalWeapon
0.7,"“Be #positive, #cheerful, #grateful and expectant.” @NightingaleEarl  #Success #Leadership"
0.7,"We are elated to have @lisavol, Sid Espinosa and @dyuliharris, ready to inspire innovative students!!  @knightfdn @MicrosoftSV @JessicaWeare"
0.694,@Norn_IronMaiden @forest_fr1ends It's hilarious
0.688,"It's not that the man did not know how to juggle, he just didn't have the balls to do it.\n #funny #pun #punny #lol "
0.688,#ukedchat A4 Just go outside (or to the gym hall) and play! \n #education  #learning
0.688,"And by the way, Takeru's eyes sparkling while eating was like the cutest thing ever."
0.688,#ContentwiththeLordsPortion:O satisfy us early with thy #mercy;that we may #rejoice &amp; be glad all our days.#Ps 90:14 #gladness #joy 
0.688,@JamieNicks_ it makes complete sense and i'm elated to hear this :]
0.688,@liamch88 yeah! :) playing well 
0.688,@Olajide_Shutti lmaoo. It will be a joyful day.
0.68,Thank you @RachelPlatten for teaching me how to live again. It's been so long since &amp; this ride is about to be exhilarating. I just know it
0.68,Day 3 of #harvest16 - listening to the sound of the chopper working it's way closer to home at @mountaindairy makes me #happy. #farm365
0.68,@dressenn @amerson6562 @RosaTrunk @iam_spl_ @michaelk487 @Silau25 \nGA🙋 Have a joyful day
0.68,Yo this 3 v 3 overtime in hockey got me sweaty damn this ish exhilarating
0.68,What an exhilarating last minute of overtime #WCH2016
0.68,Day 9 and I am elated because I'm taking PTO tomorrow so I'm doneeeee. But:
0.68,"Ooh #hygge, candles, jasmine tea &amp; #GBBO "
0.68,.@Travelanswerman: When U ride on a pile of salt life is extra sweet! Always salty always savory! #surfing #aloha #smiling …
0.673,It's a beautiful day today. Cloudy but sunny and breezy.
0.667,@jimadair3 Guitar shop owners everywhere rejoice
0.667,A joyous first webiversary/web mitzvah to Smithsonian's @WeiPoints!! @brianwolly @jackie_mansky @bethpylieberman @bilbo @mazeltov
0.667,@lennyabrahamson May I send you a copy of #HeroTheGreyhound? Either e-book or real paper one! A boy and a greyhound #smiles #tears #laughter
0.667,Look forward to the detours because they bring delightful surprises. #lifequote 
0.667,"@followAdamA looking back on recent tweets seen, this one right here is great #perfect  #Speechless #deal"
0.667,Getting cable hooked up in new place just in time for @NBCChicagoPD and @NBCChicagoMed premiers is like God smiling down on me. #OneChicago
0.667,"@mediacrooks @thenewshour @LodhiMaleeha @ndtv @IndiaToday This is hilarious ! Not a Freudian slip, eh !"
0.667,Watch this amazing live.ly broadcast by @izzybuzy365  #musically
0.667,My siblings look all gangster &amp; I look all cheery 😅😂
0.667,@sidviyer uff!! Look at your Arsenal fans cheering for every goal against United. haha
0.667,"@HytheHighborne -Sylvia was elated to receive kisses from the little prince, her bright smile clear as she glanced to Garrett and Elyse- --"
0.667,There is something v satisfying about  opening an old 'to do'.doc file and being able to check off all the things you have done #smiling
0.66,"If you have the ability to make someone happy or to make someone #smile, do it! The world needs more of that right about now. #CreateLove ☺️"
0.66,"@BlueJayHunter I'm fine on the near future, I just want to go to bed super elated and put together audio compilations of great moments."
0.66,Time to go hit up the library - I have a lovely PILE of book reservations to collect this morning... #glee #books #reading
0.66,"if you ain't watching Sugarboy on Hulu, then you ain't shit. #hilarious hahaha"
0.66,@TampaBayRay I cried with laughter.
0.66,"I'm due for a big change! I've prayed on it, I think I deserve it #positivity #optimism"
0.66,@R1Breakfast Totes had to re-listen to the endless hilarity that was Tom Odell's 'raaar' this morning 😂😂😂 @grimmers @fionaradio @TinaDaheley
0.66,"It's finally raining in Ashland, Oregon. We've been parched all summer &amp; fall. The plants &amp; people are rejoicing!"
0.657,tfw you're en-route to your future :) !! @HUCJIR i'm coming for ya! #openhouse #futurecantor #exhilarating #NYCletsgo
0.656,@reinervshunter you got this #staystrong #smile #yourebeautiful
0.656,It's Thursday which means it's Grey's day #TGIT 
0.655,Watch this amazing live.ly broadcast by @brooke_bridges  #musically
0.654,The current run of superman continues to be a delight! You can feel the love poured into it by everone on the creative team #superman
0.654,I am always ready to #smile.
0.654,"Riding at night has got to be one of the most exhilarating, refreshing things I have ever done."
0.654,"Lmboo , using my nephew for meme #hilarious"
0.646,@sszmata @PKessel81 Blew up the Internet with his chirp. Lol. Love it.
0.646,Thinking about trying some comedy on youtube. Always been fond of it. Time to nut up. #laughter #comedy #maybeoneday #hopefullyfunny #LOL
0.646,"I like talking to someone who makes me laugh, laughter is the best medicine"
0.646,"Lmboo , using my nephew for meme "
0.646,"Loved @Bethenny independence msg on @WendyWilliams, be happy &amp; fulfilled within yourself &amp; positivity will flock to you #happy #independent"
0.646,Watch this amazing live.ly broadcast by @katyy.mae #lively #musically
0.646,"#personaldevelopment\n\nToday is a gift, that's why it's called the present... #happiness #optimism #entrepreneur #personaldevelopment …"
0.646,Bunk ur class📚 at least once in your life time cuz later when u look back good marks will not make u happy but memories😊 will'    -APJ
0.646,"@Nikhilv95 @LydiajaneF I wish, I really, truly wish, that I had just a modicum of your banter. #hilarious"
0.646,Am I watching #BacheloretteAU or Zoolander ? #hilarious #samvrhys
0.646,@scdesc Yup. And Val basically ignoring the recipe. I'm just done. I keep bursting into laughter x
0.646,"Be happy not because everything is good, but because you can see the good side of everything  #optimism"
0.646,the fact everyone is selling their kanye tickets or are buying them for less than $50 is unbelievably hilarious to me
0.646,@bradshawjp Sweet! 
0.646,"He showed us a really lively performance, with a lot of different emotions, not just sticking to one. And that's freaking awesome."
0.646,@Nick_Offerman I'll be there!! Can't wait for all the #mirth!
0.64,Icon is pochama.\nHe is very cute and easily elated.
0.64,@crimpoop my adorable and cheerful daughter\nAlways pouring positivity green goo on me\ndare hurt her and you'll see hell //growls\n\n#PandaBot
0.64,Remember: The life you have is a blessing for #God. Make it a joyful experience regardless of the odds. GBY
0.64,@chrisrock brings back great memories of hilarity on #SATURDAYNIGHTLIVE
0.64,The neighbor dancing in the Clayton Homes commercial is me. #hilarious
0.625,All in all a pleasing night down The Lane .  .  .  On to the next round &amp; bring on Liverpool at Anfield! #COYS
0.625,@AlbertBreer @jetswhispers Be sure and switch it over to cable news - cheery
0.625,"If you simply act out of kindness, strength, and optimism, today will be the best day ever! @Tarleton_KINE @DrKaylaPeak @jssimpson9"
0.625,@beingbrilliant @johnmurrays you're welcome. It's genuinely made me give my head a wobble and realise what's important in life.  #smiling
0.625,@liamch88 yeah! :) playing well #optimism
0.625,Why have I only just started watching glee this week I am now addicted 🙄 #glee #GLEEK
0.625,@RealKyper @NHL watching the jubilant scrum at the end of the day and remembering they're all still kids! #priceless
0.625,chirp chirp! what a beautiful white and red bird! 🐦
0.625,15 minutes of yoga to your breakfast routine will change your day #preparation #sunriseyoga #bodyawareness #health #yoga #smile #stretch
0.625,@sydneyswans #cheer #cheer the #red and #white we are now off to #grand final to #win the #fight. Thanks @JetstarAirways
0.625,"It's not that the man did not know how to juggle, he just didn't have the balls to do it.\n #funny #pun #lol  #punny"
0.625,Watch this amazing live.ly broadcast by @iamjustinburke #lively #musically
0.62,"@deadlyjokester *she let out a playful gasp and slowly wrapped her arms around his neck, kissing him back*"
0.62,"The T.I / Shawty Lo beef is one of the more underrated ones in hip-hop history. Chock-full of wit, bravado and hilarity."
0.62,"Just popped a half bottle of 2014 @Bellawines #sparkling #gamaynoir from Westbank. Evenin', folks! \n#bcwinechat"
0.62,Omg I'm outside making beats with garageband and some little birds  decided to chirp along （≧∇≦）
0.62,Go follow me on Musically @budderlordk1ng I am making a lively. Come and join BFFing and Following ;) See you there!
0.62,@adamrodricks I like your optimism!
0.62,Ryan Gosling and Eva Mendes finally  ; B joyful an funny/dont boss/dont argue/do everything with kids/go on mini car trips/ focus on love
0.615,"God just replaced my sadness with laughter, can't go the whole day sad ..."
0.615,A hearty welcome to those who followed me.
0.613,In ever use to like smiling until I realized how good my teeth look ... Witout the braces
0.611,@saraandgreg @Airbnb Another happy customer.  #secreteyes
0.607,I just heard the most incredibly transcendent song ever &amp; now I feel high &amp; fucked up yet joyful &amp; I will never be the same
0.604,"Elinor,' she laughed so little known, all over every body at the brilliant cheerfulness of sweetmeats and a fashion."
0.604,Only Geo is capable of cheering me up❤️❤️❤️
0.604,@MericanMainer AWW. I had a Maine Coon when I was little named Ted Eddy the Wonder Cat. They're such good cats! Very playful and sweet
0.604,Make someone happy ^_^
0.604,What if.... the Metro LRT went over the Walterdale?!?! 😂 #yeg 
0.604,Go follow #beautiful #Snowgang ♥@Amynicolehill12 ♥ #Princess #fitness #bodyposi #haircut #smile #Whitegirlwednesday
0.604,felt a bit shit getting a very high blood sugar then i remembered it's my first one above 15 this week which is incredible for me! #happy
0.604,@TheeCurrentYear @Sargon_of_Akkad this is too much hilarity for one day
0.604,"Being a veteran just totally got me out of a ticket. I'm elated right now, close call."
0.604,*violently screams at the four winds* WE AINT EVER GETTING OLDER *cute jovial rhythm starts* *moves hips along and waves arms in the air*
0.604,"It's not that the man did not know how to juggle, he just didn't have the balls to do it. \n #funny #pun #punny #lol "
0.602,There is something v satisfying about  opening an old 'to do'.doc file and being able to check off all the things you have done 
0.6,Rojo is so bad it's hilarious.
0.6,"I'm due for a big change! I've prayed on it, I think I deserve it #positivity "
0.6,Watch this amazing live.ly broadcast by @kaylaaa_sartorious #lively #musically
0.6,".@Harry_Styles I hope you never go a day without something to make you smile. You deserve all good things. Please follow me?\n❤️💛💚💙💜\n311,553"
0.6,@_stfukohle it's ok champ you'll make it I'm cheering you on from a far
0.6,Rojo is hilarious
0.6,I'm so playful. lol I need somebody that'll joke with me all day long cause ill never get tired of it.
0.6,@LFScott57 Miss Cookie sends her thanks! She's not as spry as she used to be - like me! She doesn't have the adventures the young pups do!
0.6,It's better to be wetter than it is dry' - @RLevin91 certainly found that hilarious #GBBO
0.596,"It's not that the man did not know how to juggle, he just didn't have the balls to do it.\n #funny #pun #punny  #lol"
0.593,"Ooh #hygge, candles, jasmine tea &amp; #GBBO #happy"
0.583,"@my2k aaa Cam animated that, so proud of our boy"
0.583,@safaridjh but it's so aesthetically pleasing omg
0.583,"#Followback Quote_Soup: Be happy not because everything is good, but because you can see the good side of everything. "
0.583,Peter is aesthetically pleasing to look at
0.583,"Loved @Bethenny independence msg on @WendyWilliams, be happy &amp; fulfilled within yourself &amp; positivity will flock to you  #independent"
0.583,I thought I got mad for anything but my bf gets mad over any little thing lmfao shit be hilarious
0.583,@KWAYNTjoia it's exhilarating
0.583,So happy my next class is canceled bc..im od tired 😭
0.583,Optimism leads to success. - Bill Kerr @Coach__Kerr #success  #goals
0.583,It's meant to be!!  
0.583,#smile is the #respect we give everyone.
0.58,Not untill today has anyone ever said to me they remember what I had on over 7 years ago when they met me n liked me since #cutealert #happy
0.58,The object of literature is to make man a wiser and happier being. The poet makes us happy because he tells us how we may become so.
0.58,Watching Avatar and wondering why I took so long to watch this *collapses in a joyous heap*
0.58,@DuncM1981 @pmallon72 At the risk of being blocked I thought that video from the wake was hilarious.
0.58,I want the smoky clouds of laughter to swim about you forever more..
0.58,I'm a cheery ghost.
0.58,Watch this amazing live.ly broadcast by @elise_awsome_11 #lively #musically
0.58,Watch this amazing live.ly broadcast by @footballrocks123456 #lively #musically
0.578,Watch this amazing live.ly broadcast by @maisiev  #musically
0.577,"@AJStylesOrg I know they have you a scripted ego maniac but, I was so elated to hear that you are a devout Christian like myself. Phenomanal"
0.577,"@alyankovic I really wish I could attend the show at RCMH. I'm there in spirit, cheering you and the dudes on! :)"
0.567,@Dubai92 try asking for a cheeseburger with only onion &amp; mustard at any #McDonalds #hilarious
0.562,Accept the challenges so that you can feel the exhilaration of victory. #FocusX10 #motivation #motivationalquotes #quoteoftheday
0.562,Watch this amazing live.ly broadcast by @flydudern  #musically
0.562,"You know what's great about #GBBO ? Contestants helping each other, cheering each other on. So important."
0.562,Accept the challenges so that you can feel the exhilaration of victory.
0.562,@kymwhitley hello Miss Lady I'm sure today brings you happiness and laughter use your voice also to make us laugh  god knows we need it
0.562,Thank you @twitter for the balloons today.  #goodday #48
0.562,"@LoisJoanneLane Wagging his tail at the praise, he paused, tilting his head as she took the frisbee from him, letting out a playful -"
0.562,Kayaking is merriment together with sevylor inflatable kayaks: eYGgJxMl
0.562,"Knowing how to cook is invaluable, what's even better is that even in a 400 sq ft place, I have wide and hearty homestyle egg noodles."
0.562,Watch this amazing live.ly broadcast by @footballrocks123456  #musically
0.562,Do what makes you successful and #happy now and forever
0.562,I love Mary's undying optimism. You could present her with dog shite and she'd find something good to say. #GBBO
0.562,Use your smile to change the world. Don't let the world change your smile.' #quote #actorslife #smile #love #hardworkpaysoff #fun
0.562,#smile every morning to a positive head start with your #clients relations
0.562,@MoAmali @awosss @Arsenalman2011 listen I dn't subscribe to this team coq Team xhaka stuff. I like all our players. Depth has me elated
0.562,Watch this amazing live.ly broadcast by @hannah..mccloud #lively #musically
0.562,"And the weather so breezy, man why can't life always be this easy"
0.56,"Of cheerfulness, or a good temper - the more it is spent, the more of it remains."
0.56,Watch this amazing live.ly broadcast by @mrgummyking #lively #musically
0.56,Watch this amazing live.ly broadcast by @rosannahill #lively #musically
0.56,Rec'd call 2day from Haitian church we started in Florida some 15yrs ago. Preparing to acquire their own bldg. Wanted me to know. #rejoicing
0.56,"There's a specific joyous 20 song title engiybhekayo, yasezayoni. Need it for le mood"
0.56,promise of restoration to the nation of israel...'everywhere you look blessing '..barns/wine overflow.Everything beautiful  #do_u_see
0.56,Look forward to the detours because they bring delightful surprises. #lifequote #delight
0.56,Watch this amazing live.ly broadcast by @paulzimmer #lively #musically
0.56,talk about a mood pickup i went from depressed to elated so fast
0.56,Finn singing 'Can't Fight This Feeling' in the shower and Will spying on him is one of the best scenes on any show. 
0.56,@NHLstoreNYC I'm cheering for @TeamNA_WCH and @TeamEUR_WCH #NHLNYCSweepstakes
0.56,Watch this amazing live.ly broadcast by @evanhufferd #lively #musically
0.56,@bradshawjp Sweet! #optimism
0.56,Finn singing 'Can't Fight This Feeling' in the shower and Will spying on him is one of the best scenes on any show. #glee
0.56,tfw you're en-route to your future :) !! @HUCJIR i'm coming for ya! #openhouse #futurecantor  #NYCletsgo
0.56,It's Thursday which means it's Grey's day #TGIT #rejoice
0.558,Watch this amazing live.ly broadcast by @kana_blender  #musically
0.558,@ofc_ALDUBQC Glad you gained some cheery vibes just by looking at our Happy Meal! 😊
0.558,I found #marmite in Australia. `:) 
0.558,Watch this amazing live.ly broadcast by @huntermcaseyy  #musically
0.558,"@5ftanomaly aside from that i'm all about pleasing the individual that i'm involved with, my pleasure comes from their pleasure."
0.55,mustache_harbor: TiburonChamber plus a hearty pour of #yachtrock by #mustacheharbor !
0.547,@jaime_scurr: any team in the world would be totally elated to get to have you on it XD
0.544,Tonight my top delight was a Skein of Geese flying about 1 foot above me as I swam in #Windermere. Breeze dropped &amp; it became like glass.
